compound,Space Group,Band Gap (eV),Lattice Thermal Conductivity (W/m K),Hole mobility (cm^2 / V s),Electron mobility (cm^2 / V s),beta (p-type),beta (n-type),Number of Atoms per Unit Cell,density (g/cm^3),volume of unit cell (A^3),Volume per Atom (A^3),Bulk Modulus (GPa),Average Coordination Number
La1O4V1,14,3.5,9.82,1.07,0.5,0.87,0.96,24,4.82,349.6,14.56666667,89.8,1.92
La1O4V1,141,3.15,12.41,2.69,7.35,2.25,0.67,12,4.42,190.9,15.90833333,97.3,3.92
In1O3Y1,185,2.02,6.27,3.45,411.06,2.85,3.85,30,5.67,442.3,14.74333333,137.2,4.53
Ba2In2O5,46,0.93,8.07,8.5,678.87,0.99,5.69,18,6.1,318.3,17.68333333,89.4,3.56
K6Mg1O4,186,1.71,2.2,0.48,35.84,0.47,2.63,22,2.53,424.3,19.28636364,31.7,5.59
O2Sr1Zn1,62,2.08,3.79,2.67,464.53,1.81,4.75,16,5.38,228.3,14.26875,87.8,5.31
Mg1O4Ti2,92,0.21,9.9,0.85,20.01,0.52,0.91,28,3.84,318,11.35714286,151.6,4.57
In1Na5O4,59,1.79,3.18,0.48,217.05,2.3,4.4,20,3.08,316.8,15.84,48.6,4.8
Na4O4Si1,2,3.24,4.27,0.34,142.73,1.1,3.08,18,2.58,237.1,13.17222222,55.8,4.83
Na6O4Zn1,186,1.55,3.92,1.51,312.1,2.34,4.94,22,2.96,299.9,13.63181818,52.8,4.32
Al6O16Sr4W1,197,3.58,10.41,4.21,112.4,0.72,2.67,27,3.54,446.4,16.53333333,79.2,3.07
Al1Cu1O2,166,2.2,56.12,3.51,128.19,1.43,1.21,4,4.99,40.8,10.2,157.1,4
Al1Cu1O2,194,2.22,28.87,4.5,104.97,3.14,1.39,8,4.99,81.5,10.1875,156.5,4
Ga2Mg1O4,227,3.15,13.28,1.06,1212.51,0.75,4.18,14,5.02,150.6,10.75714286,162.9,4.57
Mg1O1,192,3.05,7.51,10.7,282.39,0.74,2.74,24,2.39,336,14,95.5,5
